风险矩阵,澳门,北京,成都,大连,福州,广州,哈尔滨,杭州,济南,昆明,南京,南宁,青岛,厦门,上海,深圳,太原,天津,威海,武汉,香港,烟台,延吉,郑州,重庆,贵阳,呼和浩特,兰州,南昌,乌鲁木齐,西安,常州,沈阳,长沙,长春,海口,桂林,南通,宁波,温州,义乌,无锡,黄山,德宏,合肥,揭阳,泉州,张家界,中国澳门,中国香港,牡丹江,石家庄,西双版纳
2022-08-14,1.2630766092100878,2.209758501819394,1.5202166156677013,0.7744973995502858,2.951815335160825,1.7773450003068554,0.07588487741839596,0.45156040320399016,1.2275773666503516,0.27764159664241017,1.768035008982231,0,1.3836515121841457,2.918833512968543,3.2633182841237427,1.4066687803611653,0,0.9355022440272523,0,0,4.199995893149573,0,0,0.7147240609287954,0.9632245658071704,0,0,0,0,0,0.14184575406735803,0,0,0,1.1364968973030192,0,1.744490479367848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-21,0.6616673316266207,2.18385817596033,1.3098475850088356,0.3359815158166819,2.874703207815041,1.8171240886320166,0,0.31895590629020987,1.1226316779400116,0,0.649777626324865,0,1.7757324517328958,2.9150436457276596,3.1016198387828653,0.5366295364081822,0,1.6580811487251426,0,0,4.231592204527068,0,0,0,0.33926397480819037,0,0,0,0,0,0,0,0,0,0.9963676586686347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,0.6616673316266207,1.3346737859725715,1.6584910174881584,0,2.5406193045336836,2.782036974926717,3.081921089440195,2.367500035878189,0.9916740200557753,0,0.5705459663348252,0,1.414929881435822,2.8722697069160597,2.9641349779072663,0.418581666406276,0,1.3773125158075163,0,0.17836738892875467,4.187602878851571,0,0,0,0,0,0,0,0,0,0,0,2.905829830384514,0,0.8750394462360546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-04,0,0.9320657305861149,0.9765800682706086,0,2.8709391948467684,2.9951511140309064,3.012607561510227,2.1617201627507514,0.8218728502839375,0,0.9408331721128145,0,1.6213255866539034,2.84120584885213,2.9328416369232473,2.5700347631126155,0,1.2854684790961706,0,0.2900087716183162,4.061304790998637,0.05470404206552328,0,0,0,0,0,0,0,0,0,0,1.5370198065338454,0,0.7768079421138983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-11,0,1.7921018345476012,1.3378961624337045,1.3927031427558925,0,2.762884029599456,0,2.27178614436914,0.5885189382622564,0.08003961790020246,1.2844222518316528,0,1.1810966806684113,1.6235380160689346,2.6134147848185774,0,0,1.2250952923727383,0,0,3.8884257781124183,0.16274359382336087,0,0,0.9106076881819575,0,0,0,0,0,0.03641525635321353,0,0.03266322885290769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-18,1.0640015883967506,1.7270754735722698,1.468903575211887,0,0,2.0056496885663493,0,2.394445516944156,0.37437406217107605,0,1.5599968503384798,0,1.1165838308572746,1.3736321536111589,2.480772982092786,0.9691338568850991,0,1.3071662116973841,0,0,3.828228786111388,0,0,0.588275393862305,1.049902647428296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-25,1.1387885863462832,1.6192341788084754,1.0183069396838313,0.17782097419328946,0,1.9655787561526046,2.577383117725838,2.165835286334308,0.7070220945974082,0,1.443833069455575,0,1.0808950361207572,1.258084369361847,2.38959762636171,0.9615774462184513,0,1.2479621426197145,0,0,3.6717182933382633,0,0,0.5455462893013466,1.61952329773786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,0,1.503982767333537,1.1438167956070877,0.47885096985727066,0.16863893065529462,2.40818309358776,2.498494767655078,2.1659164350279436,0.4511843969590671,0.12092906490026165,0.879908866690955,0,0.8006908038896869,2.100819943678047,2.33628429437271,0.6233573282795414,0,0.856508047712371,0,0.23463145592553294,3.594068073564684,0,0,0,0.2790480639561187,0,0,0,0,0,0.1378795668497566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-09,0,1.3264404458928227,1.0460314998227924,0.824728938509922,2.284487452907727,2.5838868277108715,2.0727019538225,1.9607248894277578,0.3047527423270307,0.12092906490026165,0.7217079145351297,0,0.8552900828918232,2.2572121328020374,2.5814950896692146,2.015520569926417,0,0.8970104886126848,0,0.6769279311075856,3.5763843064286407,0,0,0,0.18183079909311584,0,0,0,0,0,0.1457760476957904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-16,0,1.1523887881356125,0.48215019544412424,0.5095404383569682,2.2472495786556235,2.536159027075595,2.3244966111248573,1.7389740627741817,0,0,0.9304298748415992,0,0.5532635580685881,2.1533160175418877,2.3263081031301462,1.9631768283400868,0,1.037438335003888,0,0.4967433855591445,3.5538736829422177,0,0,0,0.5618199520850248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
