,省,市,市（代码）,日期,现存确诊,新增确诊,本土新增确诊,无症状(只有本土),新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
177500,江苏,淮安,320800,2022.12.02,18,0,0,30,0,0,101,83,
178539,江苏,盐城,320900,2022.12.02,107,0,3,22,0,0,175,68,
179578,江苏,镇江,321100,2022.12.02,17,0,2,35,0,0,41,24,
180617,江苏,泰州,321200,2022.12.02,22,0,0,41,0,0,69,47,
181656,江苏,宿迁,321300,2022.12.02,38,0,10,50,0,0,68,30,
182695,广西,南宁,450100,2022.12.02,1,0,0,21,0,0,71,70,
183745,广西,北海,450500,2022.12.02,1,0,0,18,0,0,597,595,1
184794,广西,桂林,450300,2022.12.02,28,0,0,150,0,0,63,35,
185844,广西,百色,451000,2022.12.02,0,0,0,9,0,0,284,284,
186894,广西,崇左,451400,2022.12.02,0,0,0,11,0,0,33,33,
187306,广西,防城港,450600,2022.12.02,0,0,0,11,0,0,149,149,
188356,广西,钦州,450700,2022.12.02,0,0,0,9,0,0,27,27,
189406,广西,柳州,450200,2022.12.02,0,0,0,30,0,0,24,24,
190456,广西,梧州,450400,2022.12.02,0,0,0,17,0,0,21,21,
191505,广西,贵港,450800,2022.12.02,2,0,1,0,0,0,12,10,
192555,广西,玉林,450900,2022.12.02,0,0,0,18,0,0,15,15,
193604,广西,河池,451200,2022.12.02,1,0,0,158,0,0,32,30,1
194654,广西,贺州,451100,2022.12.02,1,0,0,11,0,0,5,4,
195704,广西,来宾,451300,2022.12.02,22,0,1,234,0,0,33,11,
196753,海南,海口,460100,2022.12.02,61,0,12,42,0,0,203,142,
197788,海南,三亚,460200,2022.12.02,54,0,9,19,0,0,6777,6722,1
198823,海南,儋州,460400,2022.12.02,4,0,1,4,0,0,476,471,1
199858,海南,万宁,469006,2022.12.02,3,0,1,6,0,0,271,268,
200893,海南,琼海,469002,2022.12.02,3,0,1,6,0,0,23,19,1
201928,海南,东方,469007,2022.12.02,9,0,1,5,0,0,416,406,1
202963,海南,临高县,469024,2022.12.02,3,0,1,2,0,0,199,196,
203998,海南,定安县,469021,2022.12.02,2,0,0,2,0,0,8,5,1
205033,海南,昌江,469026,2022.12.02,1,0,0,0,0,0,9,8,
206068,海南,澄迈县,469023,2022.12.02,14,0,2,3,0,0,54,39,1
207102,海南,陵水,469028,2022.12.02,19,0,3,3,0,0,228,209,
208136,海南,琼中,469030,2022.12.02,0,0,0,2,0,0,1,1,
209170,海南,乐东,469027,2022.12.02,12,0,1,5,0,0,458,446,
210205,海南,文昌,469005,2022.12.02,12,0,2,1,0,0,21,9,
211230,海南,保亭,469029,2022.12.02,0,0,0,0,0,0,3,3,
212254,海南,五指山,469001,2022.12.02,6,0,3,0,0,0,13,7,
212745,海南,屯昌县,469022,2022.12.02,1,0,0,1,0,0,1,,
213236,海南,白沙,469025,2022.12.02,0,0,0,0,0,0,,,
213727,陕西,西安,610100,2022.12.02,259,0,8,392,0,0,2823,2561,3
214771,陕西,安康,610900,2022.12.02,213,0,3,41,0,0,247,34,
215815,陕西,渭南,610500,2022.12.02,252,0,25,68,0,0,315,63,
216859,陕西,汉中,610700,2022.12.02,203,0,13,7,0,0,292,89,
217903,陕西,宝鸡,610300,2022.12.02,0,0,0,43,0,0,261,261,
218947,陕西,咸阳,610400,2022.12.02,28,0,0,49,0,0,64,36,
219991,陕西,延安,610600,2022.12.02,39,0,4,49,0,0,74,35,
221035,陕西,铜川,610200,2022.12.02,22,0,6,0,0,0,49,27,
222079,陕西,商洛,611000,2022.12.02,0,0,0,49,0,0,99,99,
223123,陕西,榆林,610800,2022.12.02,242,0,4,174,0,0,296,54,
224165,河北,邯郸,130400,2022.12.02,10,0,0,5,0,0,74,64,
225214,河北,石家庄,130100,2022.12.02,598,0,15,269,0,0,1719,1120,1
226263,河北,保定,130600,2022.12.02,7,0,0,0,0,0,65,58,
227312,河北,邢台,130500,2022.12.02,5,0,0,4,0,0,143,137,1
228361,河北,廊坊,131000,2022.12.02,16,0,0,9,0,0,335,319,
229410,河北,沧州,130900,2022.12.02,9,0,0,3,0,0,147,135,3
230458,河北,衡水,131100,2022.12.02,6,0,0,2,0,0,20,14,
231507,河北,承德,130800,2022.12.02,1,0,0,2,0,0,9,8,
232556,河北,唐山,130200,2022.12.02,0,0,0,0,0,0,96,95,1
233605,河北,张家口,130700,2022.12.02,0,0,0,5,0,0,43,43,
234654,河北,秦皇岛,130300,2022.12.02,2,0,0,45,0,0,24,21,1
235703,黑龙江,哈尔滨,230100,2022.12.02,699,0,87,89,0,0,2331,1628,4
236748,黑龙江,牡丹江,231000,2022.12.02,5,0,0,27,0,0,108,103,
237794,黑龙江,绥化,231200,2022.12.02,48,0,1,80,0,0,668,616,4
238840,黑龙江,黑河,231100,2022.12.02,30,0,0,127,0,0,344,314,
239885,黑龙江,鸡西,230300,2022.12.02,2,0,0,10,0,0,57,55,
240931,黑龙江,齐齐哈尔,230200,2022.12.02,138,0,15,84,0,0,186,47,1
241976,黑龙江,佳木斯,230800,2022.12.02,70,0,3,25,0,0,225,155,
243022,黑龙江,大庆,230600,2022.12.02,4,0,1,40,0,0,156,151,1
244068,黑龙江,双鸭山,230500,2022.12.02,14,0,3,7,0,0,67,50,3
245114,黑龙江,七台河,230900,2022.12.02,3,0,0,5,0,0,21,18,
246160,黑龙江,鹤岗,230400,2022.12.02,0,0,0,20,0,0,5,5,
247206,黑龙江,大兴安岭,232700,2022.12.02,7,0,1,0,0,0,11,4,
248252,黑龙江,伊春,230700,2022.12.02,0,0,0,12,0,0,1,1,
249297,辽宁,本溪,210500,2022.12.02,6,0,0,19,0,0,22,16,
250344,辽宁,锦州,210700,2022.12.02,9,0,0,26,0,0,29,20,
251391,辽宁,丹东,210600,2022.12.02,5,0,0,3,0,0,101,96,
