Entity,Year,fish-discards
South Korea,1982,748182.7016
South Korea,1983,771612.9958
South Korea,1984,778585.637
South Korea,1985,765352.5107
South Korea,1986,795442.7019
South Korea,1987,707289.5498
South Korea,1988,684465.1133
South Korea,1989,667823.8137
South Korea,1990,688136.69
South Korea,1991,698687.2241
South Korea,1992,752914.5621
South Korea,1993,693548.7997
South Korea,1994,663415.0644
South Korea,1995,654950.2358
South Korea,1996,636557.3152
South Korea,1997,628351.0795
South Korea,1998,600739.7334
South Korea,1999,568071.2109
South Korea,2000,562550.6603
South Korea,2001,529792.5389
South Korea,2002,539334.5578
South Korea,2003,504524.3643
South Korea,2004,493719.3231
South Korea,2005,444335.9904
South Korea,2006,416234.8424
South Korea,2007,387887.8941
South Korea,2008,368794.663
South Korea,2009,365531.2918
South Korea,2010,365959.9692
South Korea,2011,431823.7372
South Korea,2012,345747.936
South Korea,2013,336707.231
South Korea,2014,378567.9519
South Korea,2015,282490.981
South Korea,2016,242084.6574
South Korea,2017,230989.2881
South Korea,2018,229516.8768
Spain,1950,608878.3151
Spain,1951,492434.0177
Spain,1952,616603.3083
Spain,1953,636183.0996
Spain,1954,782493.6828
Spain,1955,914449.266
Spain,1956,843224.8873
Spain,1957,850071.6212
Spain,1958,767904.7547
Spain,1959,860612.9976
Spain,1960,1004385.142
Spain,1961,1160113.604
Spain,1962,1062946.108
Spain,1963,1157130.846
Spain,1964,1149700.383
Spain,1965,1153348.608
Spain,1966,1136050.562
Spain,1967,1296431.29
Spain,1968,1310198.096
Spain,1969,1114167.415
Spain,1970,1054706.46
Spain,1971,1018409.335
Spain,1972,774335.2881
Spain,1973,645766.9369
Spain,1974,607763.4153
Spain,1975,549319.3641
Spain,1976,448867.2749
Spain,1977,439615.0185
Spain,1978,414832.3343
Spain,1979,385306.3773
Spain,1980,410357.8398
Spain,1981,417798.7154
Spain,1982,405594.0303
Spain,1983,346664.1586
Spain,1984,384539.5733
Spain,1985,378347.0992
Spain,1986,393249.2618
Spain,1987,429581.259
Spain,1988,416054.4351
Spain,1989,368627.7903
Spain,1990,399551.2739
Spain,1991,340152.8976
Spain,1992,321180.7508
Spain,1993,333897.2715
Spain,1994,327613.5711
Spain,1995,312449.2146
Spain,1996,318654.5728
Spain,1997,343820.1079
Spain,1998,308540.0455
Spain,1999,291207.3603
Spain,2000,335131.5327
Spain,2001,337030.4699
Spain,2002,318500.7537
Spain,2003,270228.4625
Spain,2004,246285.959
Spain,2005,241496.2047
Spain,2006,232982.1271
Spain,2007,200776.6506
Spain,2008,202618.0827
Spain,2009,181863.8257
Spain,2010,193334.2687
Spain,2011,245018.5063
Spain,2012,152686.101
Spain,2013,120384.0047
Spain,2014,132196.3673
Spain,2015,216952.3088
Spain,2016,212151.3076
Spain,2017,217454.3237
Spain,2018,174809.3521
Sri Lanka,1950,4039.2
Sri Lanka,1951,4039.2
Sri Lanka,1952,4847.04
Sri Lanka,1953,5654.88
Sri Lanka,1954,9694.08
Sri Lanka,1955,8078.4
Sri Lanka,1956,12117.6
Sri Lanka,1957,10501.92
Sri Lanka,1958,16964.64
Sri Lanka,1959,15348.96
Sri Lanka,1960,16156.8
Sri Lanka,1961,14541.12
Sri Lanka,1962,24235.2
Sri Lanka,1963,19388.16
Sri Lanka,1964,39584.16
Sri Lanka,1965,21811.68
Sri Lanka,1966,25850.88
Sri Lanka,1967,28274.4
Sri Lanka,1968,21003.84
Sri Lanka,1969,32313.6
Sri Lanka,1970,28274.4
Sri Lanka,1971,25850.88
Sri Lanka,1972,29890.08
Sri Lanka,1973,26658.72
Sri Lanka,1974,42815.52
Sri Lanka,1975,50021.4528
Sri Lanka,1976,57752.4816
Sri Lanka,1977,49197.456
Sri Lanka,1978,58721.8896
Sri Lanka,1979,44318.1024
Sri Lanka,1980,38945.35814
Sri Lanka,1981,54977.96536
Sri Lanka,1982,74382.56268
Sri Lanka,1983,55585.38856
Sri Lanka,1984,52428.66161
Sri Lanka,1985,32600.54274
Sri Lanka,1986,32484.30785
Sri Lanka,1987,32541.35217
Sri Lanka,1988,32699.46506
Sri Lanka,1989,32051.14007
Sri Lanka,1990,29370.80315
Sri Lanka,1991,33109.26601
Sri Lanka,1992,41560.74181
Sri Lanka,1993,38977.45708
Sri Lanka,1994,17075.86742
