年份,城市,城镇常住人口(市辖区),建成区面积（平方公里）市辖区,居住用地面积,公园绿地面积,建成区绿化覆盖率(%),工业颗粒物排放量(吨),工业二氧化硫排放量(吨),工业氮氧化物排放量(吨),细颗粒物年平均浓度(微克/立方米),人均地区生产总值(元)全市,医院数(个)全市,医院数(个)市辖区,医院床位数(张)全市,医院床位数(张)市辖区,执业(助理)医师数(人)全市,执业(助理)医师数(人)市辖区,职工基本医疗保险参保人数全市,境内公路总里程(公里)全市,年末实有公共汽（电）车营运车辆数（辆）,全年公共汽(电)车客运总量(万人次),年末实有巡游出租汽车营运车数（辆）,公路客运量(万人),高中及以上比例(%),年龄0到19比例(%),年龄20到39比例(%),年龄60以上比例(%),同性恋人数,城市降水量数据,城市年度日照时数,城市逐年气温,covid-19 累计确诊,covid-19 累计治愈,covid-19 累计死亡
2021,南宁,495,327,100,4640,41.14,9548,6426,13843,31,54669,148,97,42671,33490,28881,23491,1257078,13320,3666,19365,6154,3902,26.20104518,25.7304608,35.20322607,12.86202409,5399,1407.428516,1398.517351,22.09979136,71,70,0
2021,桂林,136,134,43,1435,41.1,4330,5426,7948,29,42424,82,34,19673,9789,14380,6840,766492,14938,725,9726,2249,5185,21.44696578,22.13928373,32.81763148,14.77029202,1499,1979.606296,1184.813696,19.65782108,69,35,0
2021,海口,236,204,,2463,41,66,475,130,14,63309,83,83,17465,17465,10713,10713,781797,6381,1994,12284,2133,1429,38.28841201,26.35123181,38.73539344,10.07482272,2828,1320.381728,1847.894897,25.21496409,279,142,0
2021,重庆,1909,1565,418,26571,43.05,59050,46992,71189,53,78173,859,711,174957,145308,88706,74431,7669803,180796,9546,122362,15634,31450,21.70095371,24.78215306,27.81447589,17.41788945,14427,1388.424262,1097.6375,17.19298914,7600,5127,7
2021,成都,1358,977,317,12528,43.75,,,,41,85679,630,453,127905,96251,72376,57412,9959837,29627,14690,110444,16609,6198,33.42073838,17.84925922,37.3162652,14.41929152,17074,1421.497487,1122.175096,15.46976585,6817,4246,4
2021,贵阳,402,448,,5269,41.8,5169,13340,12015,41,72246,193,160,36674,31265,20687,17127,1592217,10178,2937,41546,13689,89374,28.97059208,24.60077948,36.58096923,11.89709183,2944,1393.195949,1199.611103,15.20675983,421,364,1
2021,昆明,544,483,194,4925,42.15,27580,23553,29188,24,80584,322,232,58293,44723,33487,27418,1806160,21349,6590,43438,9356,4172,29.31737759,22.7616671,37.91952345,12.09674623,4864,937.2166281,2774.692028,16.209933,1013,75,0
2021,西安,994,701,,7869,41.85,1797,1506,2917,51,79181,359,334,66506,62963,40714,38903,3786000,12274,9363,80720,16819,7486,42.66704205,21.222312,37.75182048,12.54207981,9595,716.0391993,2038.465124,13.6023876,2839,2561,3
2021,兰州,302,235,68,2912,40.03,6732,12714,15919,34,66680,116,86,28452,23767,14883,12705,1267025,9744,3189,59695,10766,2887,41.85063007,21.11403717,36.37421764,12.6711932,2536,345.8984262,2319.579012,7.757371466,1049,988,2
2021,乌鲁木齐,,522,128,3855,40.54,18104,8094,11877,47,82314,144,137,30366,30246,16817,16759,1414400,2971,4458,43890,13138,308,44.88470741,20.58637282,39.82443385,11.05061784,3210,272.4327271,2654.744002,5.573273882,1868,1423,0
